end,item1,item2,item3,item4,lvl,name,server,sex,special_features1,special_features2,special_features3,special_features4,special_features5,start,status_auction,tc,vocation
"Aug 29 2020, 10:00 CEST","""a sleep shawl""","""an enchanted pendulet""","""a lion longbow""","""a lion spangenhelm""",467,Kutthgar,Celebra,Male,1x a monk exercise dummy (Store Item),Character World Transfer available,Daily Reward Streak: 87/7,"971128 Gold total in bank, inventory and depot",115 Distance Fighting (Loyalty bonus not included),"Aug 26 2020, 10:08 CEST",Sold,10001,Royal Paladin
"Aug 29 2020, 10:00 CEST","""a gill gugel""","""a gill coat""","""gill legs""","""a spellbook of vigilance""",422,Arthas on Manipulador,Ferobra,Male,"Achievement ""A Study in Scarlett"" accomplished","Total Charm Points 1405, Unused Charm Points: 5","Blessings active: 7/7, Twist of Fate active: yes",95 Magic Level (Loyalty bonus not included),Unlocked Powerful Imbuements: 11,"Aug 27 2020, 10:12 CEST",Sold,5128,Master Sorcerer
"Aug 29 2020, 10:00 CEST","""a depth lorica""","""a crossbow of destruction""","""a living vine bow""","""an enchanted sleep shawl""",362,Tonero,Inabra,Male,113 Distance Fighting (Loyalty bonus not included),"Achievement ""The Professor's Nut"" accomplished",30 Magic Level (Loyalty bonus not included),"Total Charm Points 4560, Unused Charm Points: 160",,"Aug 27 2020, 10:11 CEST",Sold,5201,Royal Paladin
"Aug 29 2020, 10:00 CEST","""terra legs""","""boots of haste""","""a mastermind shield""","""a cake backpack""",111,Werheon,Monza,Male,Character World Transfer available,"Blessings active: 5/7, Twist of Fate active: yes",111 Level,14 Achievement Points,,"Aug 27 2020, 10:07 CEST",Not Sold,450,Master Sorcerer
"Aug 29 2020, 10:00 CEST","""a wand of defiance""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",133,Skyfaallz,Solidera,Female,182x a great mana potion (Store Item),133 Level,82 Magic Level (Loyalty bonus not included),,,"Aug 28 2020, 10:10 CEST",Sold,711,Sorcerer
"Aug 29 2020, 10:00 CEST","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",8,Dildo Fragins,Noctera,Male,103 Distance Fighting (Loyalty bonus not included),93 Shielding (Loyalty bonus not included),,,,"Aug 27 2020, 10:08 CEST",Sold,354,Paladin
"Aug 29 2020, 10:00 CEST","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",508,Kynrave,Gladera,Male,1x a ferumbras exercise dummy (Store Item),"Total Charm Points 3016, Unused Charm Points: 816",111 Sword Fighting (Loyalty bonus not included),106 Shielding (Loyalty bonus not included),Additional Slots: Prey,"Aug 27 2020, 10:10 CEST",Sold,9001,Knight
"Aug 29 2020, 10:00 CEST","200x ""a great mana potion""","4x ""a crystal coin""","""boots of haste""","""a batwing hat""",96,Matias Lawliet,Ferobra,Male,,,,,,"Aug 27 2020, 10:12 CEST",Sold,214,Master Sorcerer
"Aug 29 2020, 10:00 CEST","""a mushroom backpack""","""a prismatic helmet""","2x ""a prismatic armor""","""a prismatic shield""",162,Angs,Wintera,Male,"166514 Gold total in bank, inventory and depot",Character World Transfer available,104 Sword Fighting (Loyalty bonus not included),9 Magic Level (Loyalty bonus not included),117 Achievement Points,"Aug 27 2020, 10:09 CEST",Sold,711,Elite Knight
"Aug 29 2020, 10:00 CEST","""a magic sword""","""a demon helmet""","""a yalahari mask""","""a dream blossom staff""",269,Biszhaduszasz,Concorda,Male,"Achievement ""A Study in Scarlett"" accomplished","277764 Gold total in bank, inventory and depot","Achievement ""Millennial Falcon"" accomplished",Character World Transfer available,,"Aug 28 2020, 10:05 CEST",Not Sold,3000,Master Sorcerer
"Aug 29 2020, 10:00 CEST","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",81,Zidgid,Quelibra,Male,,,,,,"Aug 27 2020, 10:13 CEST",Sold,339,Master Sorcerer
"Aug 29 2020, 10:00 CEST","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",365,Alfiz,Harmonia,Male,365 Level,Character World Transfer available,111 Sword Fighting (Loyalty bonus not included),105 Shielding (Loyalty bonus not included),Store Outfits: 1,"Aug 27 2020, 10:05 CEST",Sold,4256,Elite Knight
"Aug 29 2020, 10:00 CEST","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",8,Cuchibarbi,Tortura,Male,240x a mana potion (Store Item),72 Magic Level (Loyalty bonus not included),,,,"Aug 27 2020, 10:06 CEST",Not Sold,200,Sorcerer
"Aug 29 2020, 10:00 CEST","3x ""a coconut shrimp bake""","""a spying eye""","""a shadow mask""","""a winged backpack""",350,Antraax Jogadorbarato,Dibra,Male,1x a ferumbras exercise dummy (Store Item),1x a reward shrine (Store Item),99 Magic Level (Loyalty bonus not included),"Hirelings total: 1, Professions: 2, Outfits: 0","Total Charm Points 2698, Unused Charm Points: 498","Aug 26 2020, 10:06 CEST",Sold,6500,Master Sorcerer
"Aug 29 2020, 10:00 CEST","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",414,Wizvex,Wintera,Male,Store Outfits: 3,100 Magic Level (Loyalty bonus not included),Unlocked Powerful Imbuements: 20,13 Quests completed,,"Aug 27 2020, 10:09 CEST",Sold,7173,Elder Druid
"Aug 29 2020, 10:00 CEST","""grasshopper legs""","2x ""gill legs""","""a crest of the deep seas""","""a wand of destruction""",370,Kiing Guihh,Inabra,Male,1x a ferumbras exercise dummy (Store Item),1x a reward shrine (Store Item),Character World Transfer available,Additional Slots: Prey,95 Magic Level (Loyalty bonus not included),"Aug 27 2020, 10:12 CEST",Sold,6401,Master Sorcerer
"Aug 29 2020, 10:00 CEST","""a backpack of holding""","""grasshopper legs""","""a rod of destruction""","""a flask with snake poison""",341,Sorveteiro Curandeiro,Belobra,Male,"Total Charm Points 1420, Unused Charm Points: 620",99 Magic Level (Loyalty bonus not included),Character World Transfer available,,,"Aug 27 2020, 10:12 CEST",Sold,3301,Elder Druid
"Aug 29 2020, 10:00 CEST","""a plate armor""","""a dragon shield""","""plate legs""","21x ""a royal spear""",42,Muakz Clow,Quintera,Female,Character World Transfer available,116 Distance Fighting (Loyalty bonus not included),105 Shielding (Loyalty bonus not included),10 Achievement Points,,"Aug 28 2020, 10:08 CEST",Sold,900,Royal Paladin
"Aug 29 2020, 10:00 CEST","30x ""a gingerbreadman""","""a wand of defiance""","""a gill coat""","""gill legs""",270,Iron Vordarz,Duna,Female,Character World Transfer available,"Total Charm Points 611, Unused Charm Points: 11",270 Level,86 Magic Level (Loyalty bonus not included),Store Decoration Items: 1,"Aug 26 2020, 10:05 CEST",Sold,4001,Master Sorcerer
"Aug 29 2020, 10:00 CEST","""a spellbook of dark mysteries""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",82,Megan on Shivera,Talera,Female,539x a great mana potion (Store Item),61 Magic Level (Loyalty bonus not included),"Blessings active: 5/7, Twist of Fate active: yes",Character World Transfer available,"56676 Gold total in bank, inventory and depot","Aug 27 2020, 10:13 CEST",Not Sold,300,Master Sorcerer
"Aug 29 2020, 10:00 CEST","200x ""a mana potion""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",549,Elite Siberian,Antica,Male,11 Magic Level (Loyalty bonus not included),"Achievement ""Battle Mage"" accomplished",,,,"Aug 27 2020, 10:11 CEST",Not Sold,13000,Knight
"Aug 29 2020, 10:00 CEST","""a gill gugel""","""a gill coat""","""gill legs""","""a Zaoan chess box""",252,Bruuziik,Garnera,Male,85 Magic Level (Loyalty bonus not included),252 Level,12 Quests completed,151 Achievement Points,"Achievement ""Swift Death"" accomplished","Aug 27 2020, 10:08 CEST",Sold,3401,Druid
"Aug 29 2020, 10:00 CEST","""a pirate backpack""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",130,Galactic Suey,Garnera,Female,130 Level,75 Magic Level (Loyalty bonus not included),79 Achievement Points,,,"Aug 28 2020, 10:10 CEST",Sold,801,Elder Druid
"Aug 29 2020, 10:00 CEST","""a golden Fafnar trophy""","""a teleportation rod""","""a gnome trignometre""","2x ""an ice shield""",656,Druiidx Mastter,Antica,Male,1x a ferumbras exercise dummy (Store Item),111 Magic Level (Loyalty bonus not included),"Total Charm Points 5498, Unused Charm Points: 1098",Unlocked Powerful Imbuements: 13,Unused Task Tokens: 430,"Aug 27 2020, 10:11 CEST",Not Sold,37000,Elder Druid
"Aug 29 2020, 10:00 CEST","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",109,Haunted Timbit,Calmera,Female,73 Magic Level (Loyalty bonus not included),109 Level,Store Outfits: 2,,,"Aug 27 2020, 10:07 CEST",Sold,352,Druid
"Aug 29 2020, 10:00 CEST","""a yalahari mask""","""a squeezing gear of girlpower""","""an energetic backpack""","""a rod of destruction""",459,Darca Derfuss,Celebra,Male,"252176 Gold total in bank, inventory and depot","Total Charm Points 1660, Unused Charm Points: 260",Unlocked Powerful Imbuements: 16,100 Magic Level (Loyalty bonus not included),302 Achievement Points,"Aug 27 2020, 10:10 CEST",Sold,5251,Elder Druid
"Aug 29 2020, 10:00 CEST","""boots of haste""","""a focus cape""","""Zaoan legs""","37x ""an ultimate mana potion""",208,Belzebazs Axl,Luminera,Male,"49184 Gold total in bank, inventory and depot","Blessings active: 5/7, Twist of Fate active: yes","Achievement ""Huntsman"" accomplished",Unlocked Powerful Imbuements: 3,83 Magic Level (Loyalty bonus not included),"Aug 27 2020, 10:07 CEST",Sold,1001,Elder Druid
"Aug 29 2020, 10:00 CEST","""a snakebite rod""","""a scale armor""","2x ""a goat grass""","""a Ring of Secret Thoughts""",91,Bode Solado,Inabra,Male,"Blessings active: 5/7, Twist of Fate active: yes",67 Magic Level (Loyalty bonus not included),91 Level,"1765 Gold total in bank, inventory and depot","Achievement ""Cake Conqueror"" accomplished","Aug 28 2020, 10:12 CEST",Sold,161,Elder Druid
"Aug 29 2020, 10:00 CEST","""a backpack of holding""","""a rift bow""","""a purple tendril lantern""","""Tearesa""",210,Tio Porko,Ferobra,Male,661x an ultimate spirit potion (Store Item),110 Distance Fighting (Loyalty bonus not included),"Total Charm Points 741, Unused Charm Points: 141",25 Magic Level (Loyalty bonus not included),Unlocked Powerful Imbuements: 6,"Aug 27 2020, 10:12 CEST",Sold,2000,Royal Paladin
"Aug 29 2020, 10:00 CEST","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",338,Tad Sorc,Peloria,Male,92 Magic Level (Loyalty bonus not included),,,,,"Aug 26 2020, 10:06 CEST",Sold,4001,Master Sorcerer
"Aug 29 2020, 10:00 CEST","""a Zaoan helmet""","""depth calcei""","""ornate legs""","""a valuable remedy slayer""",210,Fidlle,Calmera,Male,99 Sword Fighting (Loyalty bonus not included),"Total Charm Points 990, Unused Charm Points: 390",92 Shielding (Loyalty bonus not included),210 Level,9 Magic Level (Loyalty bonus not included),"Aug 27 2020, 10:07 CEST",Sold,851,Knight
"Aug 29 2020, 10:00 CEST","""a clerical mace""","""a rainbow trout""","""(no item for display selected)""","""(no item for display selected)""",60,Grein Katuzu,Wintera,Male,"Blessings active: 5/7, Twist of Fate active: yes","Total Charm Points 155, Unused Charm Points: 155",Monsters in Bestiary completed: 10,60 Level,60 Magic Level (Loyalty bonus not included),"Aug 28 2020, 10:11 CEST",Sold,151,Master Sorcerer
"Aug 29 2020, 10:00 CEST","""a hellforged axe""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",173,Doord Kaos,Refugia,Male,197 Achievement Points,118 Axe Fighting (Loyalty bonus not included),110 Shielding (Loyalty bonus not included),,,"Aug 27 2020, 10:06 CEST",Not Sold,2500,Elite Knight
"Aug 29 2020, 10:00 CEST","""a pair of soft boots""","""a master archer's armor""","""prismatic legs""","""a rift bow""",206,Aeris Oakheart,Kalibra,Male,105 Distance Fighting (Loyalty bonus not included),93 Shielding (Loyalty bonus not included),Character World Transfer available,"368626 Gold total in bank, inventory and depot",25 Magic Level (Loyalty bonus not included),"Aug 27 2020, 10:12 CEST",Sold,1100,Paladin
"Aug 29 2020, 10:00 CEST","""an amulet of loss""","""alloy legs""","""a control unit""","""a moon mirror""",137,Vou Morrired,Relembra,Male,Character World Transfer available,"Achievement ""Rathleton Inhabitant"" accomplished","126259 Gold total in bank, inventory and depot",Unlocked Powerful Imbuements: 3,76 Magic Level (Loyalty bonus not included),"Aug 27 2020, 10:09 CEST",Sold,658,Druid
"Aug 29 2020, 10:00 CEST","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",230,Habilitas,Gladera,Female,Character World Transfer available,230 Level,77 Magic Level (Loyalty bonus not included),,,"Aug 27 2020, 10:10 CEST",Sold,1002,Sorcerer
"Aug 29 2020, 10:00 CEST","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",110,Shemon Rayz,Kenora,Male,Character World Transfer available,123 Distance Fighting (Loyalty bonus not included),112 Shielding (Loyalty bonus not included),3 Quests completed,110 Level,"Aug 26 2020, 10:05 CEST",Sold,4001,Royal Paladin
"Aug 29 2020, 10:00 CEST","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",77,Master Chieeff,Quelibra,Male,119 Axe Fighting (Loyalty bonus not included),112 Shielding (Loyalty bonus not included),,,,"Aug 27 2020, 10:13 CEST",Sold,4501,Elite Knight
"Aug 29 2020, 10:00 CEST","""boots of haste""","""a focus cape""","""Zaoan legs""","""a glacial rod""",174,Feerrarizs,Zenobra,Male,212x an ultimate mana potion (Store Item),"Achievement ""Call Me Sparky"" accomplished","Achievement ""Wayfarer"" accomplished","Achievement ""Follower of Palimuth"" accomplished",74 Magic Level (Loyalty bonus not included),"Aug 27 2020, 10:06 CEST",Not Sold,1650,Elder Druid
"Aug 29 2020, 10:00 CEST","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",113,Blaine Prime,Talera,Male,20 Magic Level (Loyalty bonus not included),113 Level,117 Distance Fighting (Loyalty bonus not included),106 Shielding (Loyalty bonus not included),48 Achievement Points,"Aug 27 2020, 10:13 CEST",Not Sold,1500,Royal Paladin
"Aug 29 2020, 10:00 CEST","""a necromancer shield""","""a yalahari leg piece""","""a Zaoan helmet""","""a depth lorica""",256,Brighter Paladin,Gentebra,Male,"Achievement ""Millennial Falcon"" accomplished",Character World Transfer available,"Total Charm Points 805, Unused Charm Points: 5",111 Distance Fighting (Loyalty bonus not included),425 Achievement Points,"Aug 27 2020, 10:14 CEST",Sold,2302,Royal Paladin
"Aug 29 2020, 10:00 CEST","""a spellbook of dark mysteries""","""a gill coat""","102x ""a major crystalline token""","""a firemind raiment""",216,Boulby,Peloria,Male,84 Magic Level (Loyalty bonus not included),"Achievement ""Gnomish Art of War"" accomplished","Achievement ""Master of the Nexus"" accomplished","386366 Gold total in bank, inventory and depot",,"Aug 28 2020, 10:09 CEST",Sold,1526,Master Sorcerer
"Aug 29 2020, 10:00 CEST","""a necromancer shield""","""a yalahari mask""","""a firemind raiment""","""a rod of destruction""",624,Raggio Oldman,Honbra,Male,"Total Charm Points 3740, Unused Charm Points: 340",109 Magic Level (Loyalty bonus not included),Store Outfits: 1,Additional Slots: Prey,Store Decoration Items: 8,"Aug 27 2020, 10:10 CEST",Not Sold,28000,Elder Druid
"Aug 29 2020, 10:00 CEST","""depth calcei""","""ornate legs""","""a gnome sword""","""a tagralt blade""",411,Bruttak,Yonabra,Male,512 Achievement Points,113 Sword Fighting (Loyalty bonus not included),Store Mounts: 2,107 Shielding (Loyalty bonus not included),"Total Charm Points 1803, Unused Charm Points: 203","Aug 26 2020, 10:06 CEST",Sold,9351,Knight
"Aug 29 2020, 10:00 CEST","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",10,Super Saiyajin Goto,Peloria,Male,93 Distance Fighting (Loyalty bonus not included),86 Shielding (Loyalty bonus not included),15 Magic Level (Loyalty bonus not included),"Total Charm Points 0, Unused Charm Points: 0",,"Aug 27 2020, 10:08 CEST",Not Sold,150,Paladin
"Aug 29 2020, 10:00 CEST","""a daramian mace""","""a plate armor""","""a dark helmet""","""plate legs""",19,Yuri Ektos,Antica,Male,782x a mana potion (Store Item),103 Club Fighting (Loyalty bonus not included),84 Axe Fighting (Loyalty bonus not included),98 Shielding (Loyalty bonus not included),6 Magic Level (Loyalty bonus not included),"Aug 28 2020, 10:11 CEST",Not Sold,500,Knight
"Aug 29 2020, 10:00 CEST","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",118,Noque nomanuel,Lobera,Male,"Achievement ""True Lightbearer"" accomplished",103 Sword Fighting (Loyalty bonus not included),,,,"Aug 27 2020, 10:12 CEST",Not Sold,1000,Elite Knight
"Aug 29 2020, 10:00 CEST","""boots of haste""","""a gill gugel""","""gill legs""","""a spellbook of vigilance""",245,Tade Sacanagem,Honbra,Male,81 Achievement Points,91 Magic Level (Loyalty bonus not included),"119834 Gold total in bank, inventory and depot",Character World Transfer available,"Total Charm Points 1715, Unused Charm Points: 115","Aug 26 2020, 10:07 CEST",Sold,2501,Sorcerer
"Aug 29 2020, 10:00 CEST","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",339,King Surrealz,Inabra,Male,89 Magic Level (Loyalty bonus not included),339 Level,"Total Charm Points 1566, Unused Charm Points: 766",187 Achievement Points,"106992 Gold total in bank, inventory and depot","Aug 26 2020, 10:09 CEST",Sold,3501,Master Sorcerer
"Aug 29 2020, 10:00 CEST","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",159,Boiil,Garnera,Male,116 Club Fighting (Loyalty bonus not included),109 Shielding (Loyalty bonus not included),159 Level,,,"Aug 27 2020, 10:08 CEST",Sold,2736,Elite Knight
"Aug 29 2020, 10:00 CEST","""a warsinger bow""","""a yalahari leg piece""","""an elite draken helmet""","""a pillow backpack""",134,Ba Tche Archer,Astera,Male,2x chilli con carniphila (Store Item),134 Level,"Blessings active: 7/7, Twist of Fate active: no","33355 Gold total in bank, inventory and depot",114 Distance Fighting (Loyalty bonus not included),"Aug 27 2020, 10:07 CEST",Sold,1000,Royal Paladin
"Aug 29 2020, 10:00 CEST","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",59,Voce moorreu,Estela,Male,77 Magic Level (Loyalty bonus not included),,,,,"Aug 27 2020, 10:07 CEST",Sold,151,Master Sorcerer
"Aug 29 2020, 10:00 CEST","""a prismatic armor""","""prismatic legs""","""prismatic boots""","""a rift bow""",187,Tonzin atirador,Kalibra,Male,104 Shielding (Loyalty bonus not included),Character World Transfer available,115 Distance Fighting (Loyalty bonus not included),187 Level,24 Magic Level (Loyalty bonus not included),"Aug 27 2020, 10:12 CEST",Sold,1051,Royal Paladin
"Aug 29 2020, 10:00 CEST","""boots of haste""","""dwarven legs""","""a focus cape""","""a starlight vial""",111,Galoo Lowcarb,Relembra,Male,"Achievement ""Loyal Subject"" accomplished",65 Magic Level (Loyalty bonus not included),,,,"Aug 27 2020, 10:10 CEST",Sold,406,Elder Druid
"Aug 29 2020, 10:00 CEST","""Zaoan legs""","""a prismatic armor""","""a prismatic shield""","""a crystalline sword""",231,Lua of caos,Gladera,Female,879x a supreme health potion (Store Item),Character World Transfer available,109 Sword Fighting (Loyalty bonus not included),102 Shielding (Loyalty bonus not included),10 Magic Level (Loyalty bonus not included),"Aug 27 2020, 10:10 CEST",Sold,1250,Elite Knight
"Aug 29 2020, 10:00 CEST","""an elven mail""","""an earthmind raiment""","""a swan feather cloak""","""a wand of destruction""",606,Rockkstarr,Ombra,Male,Store Outfits: 1,108 Magic Level (Loyalty bonus not included),606 Level,Character World Transfer available,Additional Slots: Prey,"Aug 26 2020, 10:07 CEST",Sold,24003,Master Sorcerer
"Aug 29 2020, 10:00 CEST","""a mining helmet""","""a master archer's armor""","""a dracoyle statue""","""filthy bunnyslippers""",163,Muninn Crow,Inabra,Male,22 Magic Level (Loyalty bonus not included),163 Level,95 Distance Fighting (Loyalty bonus not included),"Total Charm Points 907, Unused Charm Points: 307",96 Achievement Points,"Aug 27 2020, 10:12 CEST",Sold,801,Royal Paladin
"Aug 29 2020, 10:00 CEST","""a yalahari mask""","""a firemind raiment""","""an earthmind raiment""","""a wand of destruction""",454,Renomed Tio Higa,Relembra,Male,"Blessings active: 6/7, Twist of Fate active: no",97 Magic Level (Loyalty bonus not included),"Total Charm Points 2044, Unused Charm Points: 444",Character World Transfer available,Monsters in Bestiary completed: 88,"Aug 27 2020, 10:10 CEST",Sold,13001,Sorcerer
"Aug 29 2020, 10:00 CEST","20x ""a camouflage backpack""","17x ""a rat god doll""","""(no item for display selected)""","""(no item for display selected)""",194,Testosterone mix,Monza,Male,9 Magic Level (Loyalty bonus not included),Character World Transfer available,98 Club Fighting (Loyalty bonus not included),92 Shielding (Loyalty bonus not included),,"Aug 28 2020, 10:08 CEST",Sold,601,Elite Knight
"Aug 29 2020, 10:00 CEST","""a warsinger bow""","""guardian boots""","""a Zaoan helmet""","""Zaoan legs""",96,Odimbas mallfoy,Quintera,Male,117 Distance Fighting (Loyalty bonus not included),"Blessings active: 7/7, Twist of Fate active: yes","422145 Gold total in bank, inventory and depot",107 Shielding (Loyalty bonus not included),34 Achievement Points,"Aug 27 2020, 10:08 CEST",Sold,1501,Royal Paladin
"Aug 29 2020, 10:00 CEST","""a dragon scale mail""","""dwarven legs""","""a Zaoan helmet""","""a rift bow""",186,Encostadon,Venebra,Male,2700x an ultimate spirit potion (Store Item),109 Distance Fighting (Loyalty bonus not included),"Total Charm Points 785, Unused Charm Points: 185",25 Magic Level (Loyalty bonus not included),99 Shielding (Loyalty bonus not included),"Aug 27 2020, 10:11 CEST",Sold,1850,Royal Paladin
"Aug 29 2020, 10:00 CEST","""the avenger""","""a Zaoan helmet""","""a blade of corruption""","""an ornate shield""",137,Beverus Thor,Secura,Male,6262x an ultimate health potion (Store Item),80x a supreme health potion (Store Item),122 Sword Fighting (Loyalty bonus not included),115 Shielding (Loyalty bonus not included),137 Level,"Aug 27 2020, 10:08 CEST",Sold,4331,Elite Knight
"Aug 29 2020, 10:00 CEST","""dwarven legs""","""a yalahari mask""","""a meat shield""","""a swan feather cloak""",193,Azull Caneta,Honbra,Male,83 Magic Level (Loyalty bonus not included),Character World Transfer available,40 Achievement Points,,,"Aug 27 2020, 10:11 CEST",Not Sold,1100,Master Sorcerer
"Aug 29 2020, 10:00 CEST","""a hat of the mad""","""a demon shield""","""a pair of soft boots""","""a focus cape""",130,Guigui Sorcz,Inabra,Male,"135598 Gold total in bank, inventory and depot",71 Magic Level (Loyalty bonus not included),Character World Transfer available,,,"Aug 27 2020, 10:12 CEST",Sold,506,Master Sorcerer
"Aug 29 2020, 10:00 CEST","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",56,Yes Coins,Inabra,Female,Character World Transfer available,"93651 Gold total in bank, inventory and depot",114 Sword Fighting (Loyalty bonus not included),107 Shielding (Loyalty bonus not included),6 Magic Level (Loyalty bonus not included),"Aug 27 2020, 10:12 CEST",Not Sold,1000,Elite Knight
"Aug 29 2020, 10:00 CEST","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",332,Lolzzyn Qqmuda,Firmera,Male,91 Magic Level (Loyalty bonus not included),,,,,"Aug 27 2020, 10:08 CEST",Sold,3301,Elder Druid
"Aug 29 2020, 10:00 CEST","""a bow of destruction""","""a crossbow of destruction""","""dark whispers""","""an enchanted sleep shawl""",510,Alex Spy,Nefera,Male,Store Outfits: 1,117 Distance Fighting (Loyalty bonus not included),32 Magic Level (Loyalty bonus not included),Store Mounts: 2,"Total Charm Points 2400, Unused Charm Points: 200","Aug 27 2020, 10:09 CEST",Sold,11001,Paladin
"Aug 29 2020, 10:00 CEST","""boots of haste""","""a wood cape""","""a composite hornbow""","""a paladin armor""",50,Olyaa,Relania,Female,50 Level,18 Magic Level (Loyalty bonus not included),Character World Transfer available,108 Distance Fighting (Loyalty bonus not included),"Total Charm Points 15, Unused Charm Points: 15","Aug 26 2020, 10:06 CEST",Sold,536,Royal Paladin
"Aug 29 2020, 10:00 CEST","""boots of haste""","""a bright sword""","""a mastermind shield""","""gill legs""",336,Niltonossauro Rex,Xandebra,Male,"Blessings active: 7/7, Twist of Fate active: yes",336 Level,94 Magic Level (Loyalty bonus not included),,,"Aug 27 2020, 10:10 CEST",Sold,8000,Druid
"Aug 29 2020, 10:00 CEST","""a mastermind shield""","""a Zaoan helmet""","""an ornate mace""","""grasshopper legs""",137,Ondeado Wgo,Quintera,Male,125x an ultimate health potion (Store Item),Character World Transfer available,94 Club Fighting (Loyalty bonus not included),137 Level,8 Magic Level (Loyalty bonus not included),"Aug 28 2020, 10:08 CEST",Sold,256,Knight
"Aug 29 2020, 10:00 CEST","""a gill gugel""","""a gill coat""","""gill legs""","""a spellbook of vigilance""",218,Scarlatox,Monza,Male,218 Level,89 Magic Level (Loyalty bonus not included),,,,"Aug 26 2020, 10:06 CEST",Sold,900,Master Sorcerer
"Aug 29 2020, 10:00 CEST","""a mycological bow""","""a rift crossbow""","""(no item for display selected)""","""(no item for display selected)""",127,Deivifers,Quintera,Male,"Total Charm Points 481, Unused Charm Points: 481",Character World Transfer available,90 Distance Fighting (Loyalty bonus not included),71 Shielding (Loyalty bonus not included),19 Magic Level (Loyalty bonus not included),"Aug 28 2020, 10:08 CEST",Sold,271,Royal Paladin
"Aug 29 2020, 10:00 CEST","""a demon helmet""","""a demon armor""","""firewalker boots""","""an ornate mace""",101,Grozny Goku,Antica,Male,106 Club Fighting (Loyalty bonus not included),Character World Transfer available,Store Outfits: 1,8 Magic Level (Loyalty bonus not included),,"Aug 27 2020, 10:11 CEST",Sold,500,Elite Knight
"Aug 29 2020, 10:00 CEST","""a demon helmet""","""a giant shrimp""","""depth calcei""","""a crystalline axe""",252,Gu er,Gentebra,Male,109 Axe Fighting (Loyalty bonus not included),9 Quests completed,103 Shielding (Loyalty bonus not included),"Blessings active: 7/7, Twist of Fate active: yes",Character World Transfer available,"Aug 27 2020, 10:15 CEST",Sold,1724,Elite Knight
"Aug 29 2020, 10:00 CEST","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",77,Lagar,Solidera,Male,"Achievement ""Exemplary Citizen"" accomplished",77 Level,74 Magic Level (Loyalty bonus not included),36 Shielding (Loyalty bonus not included),,"Aug 27 2020, 10:10 CEST",Not Sold,400,Druid
"Aug 29 2020, 10:00 CEST","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",81,Venus'sky,Garnera,Male,7 Magic Level (Loyalty bonus not included),81 Level,102 Axe Fighting (Loyalty bonus not included),96 Shielding (Loyalty bonus not included),,"Aug 28 2020, 10:09 CEST",Sold,252,Elite Knight
"Aug 29 2020, 10:00 CEST","3x ""a cake backpack""","""a moon mirror""","""a starlight vial""","""a sun catcher""",232,Caixa de caixa,Ombra,Male,455x an ultimate mana potion (Store Item),83 Magic Level (Loyalty bonus not included),232 Level,"Total Charm Points 850, Unused Charm Points: 50",,"Aug 27 2020, 10:09 CEST",Sold,2501,Elder Druid
"Aug 29 2020, 10:00 CEST","20x ""a great health potion""","107x ""a mana potion""","""an angelic axe""","""a moon backpack""",130,Ark Tebow,Pacera,Male,12 Quests completed,8 Magic Level (Loyalty bonus not included),106 Axe Fighting (Loyalty bonus not included),99 Shielding (Loyalty bonus not included),Character World Transfer available,"Aug 27 2020, 10:08 CEST",Sold,601,Elite Knight
